name,category,address_full,website,phone_number,rating,reviews_count,hours,longitude,latitude,url
Cafe Sari Mendo Hj. LEHA,Kafe,"Jl. Cucut No.5, RT.5/RW.8, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,Unknown,"4,6",Unknown,"Kamis,05.00 hingga 17.30",106.8816288,-6.1109983,https://www.google.com/maps/place/Cafe+Sari+Mendo+Hj.+LEHA/data=!4m7!3m6!1s0x2e6a1fb8c4c28db1:0xd552dfeeefeef01b!8m2!3d-6.1109983!4d106.8816288!16s%2Fg%2F11gdm6lgvz!19sChIJsY3CxLgfai4RG_Du7-7fUtU?authuser=0&hl=id&rclk=1
Kopiluvium Cipeucang,Kedai Kopi,"Jl. Cipeucang V No.18, RT.2/RW.4, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230",Unknown,0813-1488-8231,"4,6",Unknown,"Kamis,16.00 hingga 01.00",106.9003085,-6.1145131,https://www.google.com/maps/place/Kopiluvium+Cipeucang/data=!4m7!3m6!1s0x2e6a1f5827b4bcd9:0x6df92065ffec1419!8m2!3d-6.1145131!4d106.9003085!16s%2Fg%2F11jy3x9q67!19sChIJ2by0J1gfai4RGRTs_2Ug-W0?authuser=0&hl=id&rclk=1
Truffle Belly Tanjung Priok,Restoran,"Jl. Kramat Jaya Raya No.50B, RT.13/RW.7, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",Unknown,0813-8788-8311,"4,8",Unknown,"Kamis,10.00 hingga 21.00",106.9170222,-6.1188486,https://www.google.com/maps/place/Truffle+Belly+Tanjung+Priok/data=!4m7!3m6!1s0x2e6a211120b306ef:0xb234755f5c0cdd0a!8m2!3d-6.1188486!4d106.9170222!16s%2Fg%2F11s58ppvkr!19sChIJ7wazIBEhai4RCt0MXF91NLI?authuser=0&hl=id&rclk=1
Saung Gandasari jl.bugis Cab. Tanjung Priok (Tradisional & Seafood),Restoran Seafood,"Jl. Bugis No.15A, RT.12/RW.6, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320",Unknown,0857-1843-9652,"4,4",Unknown,"Kamis,10.00 hingga 21.00",106.8899354,-6.1155386,https://www.google.com/maps/place/Saung+Gandasari+jl.bugis+Cab.+Tanjung+Priok+%28Tradisional+%26+Seafood%29/data=!4m7!3m6!1s0x2e6a1fea8b124805:0xb723442489100bf0!8m2!3d-6.1155386!4d106.8899354!16s%2Fg%2F1hm4rd1dw!19sChIJBUgSi-ofai4R8AsQiSREI7c?authuser=0&hl=id&rclk=1
Habibah Cafe,Kafe,"VVGG+685, Jl. Warakas C. Gg. 15, RT.9/RW.13, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370",Unknown,0812-2013-7317,"4,3",Unknown,"Kamis,09.00 hingga 22.00",106.8758511,-6.1244762,https://www.google.com/maps/place/Habibah+Cafe/data=!4m7!3m6!1s0x2e6a1fd010e991c1:0x351023b4ac50469e!8m2!3d-6.1244762!4d106.8758511!16s%2Fg%2F11h9r8l0y7!19sChIJwZHpENAfai4RnkZQrLQjEDU?authuser=0&hl=id&rclk=1
Dapoer Retro 95 Tanjung Priok,Restoran,"Jl. Ganggeng XIII No.95 12, RT.12/RW.7, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330",Unknown,0812-8797-6525,"4,7",Unknown,"Kamis,Buka 24 jam",106.8830476,-6.1214097,https://www.google.com/maps/place/Dapoer+Retro+95+Tanjung+Priok/data=!4m7!3m6!1s0x2e6a1fab4ee39cf1:0x34de547500308d15!8m2!3d-6.1214097!4d106.8830476!16s%2Fg%2F11j38pc3h6!19sChIJ8ZzjTqsfai4RFY0wAHVU3jQ?authuser=0&hl=id&rclk=1
Sugarbell Bakery & Cake,Toko Roti,"VVHQ+5CP, Jl. Swasembada Barat XII, RT.11/RW.13, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320",Unknown,(021) 4360429,"4,4",Unknown,"Kamis,09.00 hingga 21.00",106.8885911,-6.1220387,https://www.google.com/maps/place/Sugarbell+Bakery+%26+Cake/data=!4m7!3m6!1s0x2e6a1fc2a2261091:0x63c6fa17d434378f!8m2!3d-6.1220387!4d106.8885911!16s%2Fg%2F11j1hy9hf7!19sChIJkRAmosIfai4Rjzc01Bf6xmM?authuser=0&hl=id&rclk=1
Pizza Hut Restoran,Restoran Pizza,"Jl. Enggano No.26, RT.8/RW.16, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,1 500 600,"4,9",Unknown,"Kamis,09.00 hingga 22.00",106.8861849,-6.1101654,https://www.google.com/maps/place/Pizza+Hut+Restoran/data=!4m7!3m6!1s0x2e6a1fe7f6f0399b:0x285dc10e57e68d12!8m2!3d-6.1101654!4d106.8861849!16s%2Fg%2F11j8p8yr7v!19sChIJmznw9ucfai4REo3mVw7BXSg?authuser=0&hl=id&rclk=1
Cafe SantaiSantuy (Lupis Enyak Masna),Restoran,"Samping Sekolah IPEKA, Jl. Sunter STS III No.40 13, RT.13/RW.7, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",Unknown,0856-9580-0612,"4,9",Unknown,"Kamis,06.30 hingga 00.00",106.8611447,-6.1340747,https://www.google.com/maps/place/Cafe+SantaiSantuy+%28Lupis+Enyak+Masna%29/data=!4m7!3m6!1s0x2e69f5d4551da267:0xa1dfefcb6ab4ca71!8m2!3d-6.1340747!4d106.8611447!16s%2Fg%2F11hdsg5hxw!19sChIJZ6IdVdT1aS4Rccq0asvv36E?authuser=0&hl=id&rclk=1
Cafe dhila,Kafe,"Jl. Bahari IV No.106 7, RT.5/RW.14, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,0878-8883-8968,"5,0",Unknown,"Kamis,Tutup",106.8742151,-6.1180233,https://www.google.com/maps/place/Cafe+dhila/data=!4m7!3m6!1s0x2e6a1f2b1333f081:0x6add8eceef176ca9!8m2!3d-6.1180233!4d106.8742151!16s%2Fg%2F11lg3rys6x!19sChIJgfAzEysfai4RqWwX786O3Wo?authuser=0&hl=id&rclk=1
Cafe Naura,Toko bahan makanan,"Jl. Kampung muara bahari Gg. Pelita VI No.5, RT.13/RW.15, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,0812-8132-5260,"5,0",Unknown,"Kamis,09.00 hingga 22.00",106.8673339,-6.1207076,https://www.google.com/maps/place/Cafe+Naura/data=!4m7!3m6!1s0x2e6a1f6aca03b537:0xfa9293de35b47dab!8m2!3d-6.1207076!4d106.8673339!16s%2Fg%2F11tsn5c1kq!19sChIJN7UDymofai4Rq320Nd6Tkvo?authuser=0&hl=id&rclk=1
Iramas Cafe,Kafe,"Jl. Enggano No.5r 8, RT.8/RW.16, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,(021) 4300951,"3,6",Unknown,"Kamis,09.00 hingga 21.00",106.8887597,-6.1103008,https://www.google.com/maps/place/Iramas+Cafe/data=!4m7!3m6!1s0x2e6a1f9580a41bb9:0x1c0dd7798fbd4ee9!8m2!3d-6.1103008!4d106.8887597!16s%2Fg%2F1pzqy5vcg!19sChIJuRukgJUfai4R6U69j3nXDRw?authuser=0&hl=id&rclk=1
Cafe Bahari,Kafe seni,"Jl. Bahari IV No.46 10, RT.7/RW.3, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,Unknown,"5,0",Unknown,"Kamis,Buka 24 jam",106.8766905,-6.1162478,https://www.google.com/maps/place/Cafe+Bahari/data=!4m7!3m6!1s0x2e6a1fdaefa147c7:0xb5f092813292ff9e!8m2!3d-6.1162478!4d106.8766905!16s%2Fg%2F11jxnx2l9b!19sChIJx0eh79ofai4Rnv-SMoGS8LU?authuser=0&hl=id&rclk=1
Santana 2 Cafe,Kafe,"Jl. Enggano No.96 6, RT.14/RW.8, Tj. Priok, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310",Unknown,Unknown,"3,6",Unknown,"Kamis,15.00 hingga 03.30",106.8921789,-6.1103365,https://www.google.com/maps/place/Santana+2+Cafe/data=!4m7!3m6!1s0x2e6a1f95ad173af3:0x3d1d6776106bac1e!8m2!3d-6.1103365!4d106.8921789!16s%2Fg%2F11g9swd6dc!19sChIJ8zoXrZUfai4RHqxrEHZnHT0?authuser=0&hl=id&rclk=1
Sky Corner Cafe,Restoran,"Jl. Papanggo Raya No.2 no 47, RT.2/RW.1, Papanggo, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14340",Unknown,0816-1714-1408,"4,7",Unknown,"Kamis,10.00 hingga 22.00",106.8826956,-6.1267315,https://www.google.com/maps/place/Sky+Corner+Cafe/data=!4m7!3m6!1s0x2e6a1fc5fb2ad5cb:0x4f31fe9803f6e126!8m2!3d-6.1267315!4d106.8826956!16s%2Fg%2F11bx1yq364!19sChIJy9Uq-8Ufai4RJuH2A5j-MU8?authuser=0&hl=id&rclk=1
